scenario,n,replication,status,method,bandwidth_multiplier,coordinate,coordinate_name,estimate,target,target_mcse,error,squared_error,estimated_se,coverage_95,interval_width_95,curvature_min_eigenvalue,fit_seconds,fit_initialization,fit_classification_objective,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight,minimum_kernel_support,bandwidth_diagnostics,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,error_message
ntsn_p2_moderate_balanced,4000,322,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,33.64394195796922,kmeans,-3.885687580979127,0.002540680874191,12.0,12.0,True,0.305,,,1.0,1.151367463362897,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00102859.
ntsn_p2_moderate_balanced,4000,380,fit_or_naive_failed,fit,,,,,,,,,,,,,30.327061043004505,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00126382.
ntsn_p2_moderate_balanced,4000,398,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,32.55612912296783,kmeans,-3.858723777060563,0.0036053625005028,9.0,12.0,True,0.3005,,,1.0,2.6227104926399933,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0610363.
ntsn_p2_moderate_balanced,4000,398,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,32.55612912296783,kmeans,-3.858723777060563,0.0036053625005028,9.0,12.0,True,0.3005,,,1.0,1.9821166398232708,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0116856.
ntsn_p2_moderate_balanced,4000,398,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,32.55612912296783,kmeans,-3.858723777060563,0.0036053625005028,9.0,12.0,True,0.3005,,,1.0,1.3749394810929658,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00246225.
ntsn_p2_moderate_balanced,4000,423,fit_or_naive_failed,fit,,,,,,,,,,,,,32.85681351099629,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-6.64794e-05.
ntsn_p2_moderate_balanced,4000,446,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,30.87094791396521,kmeans,-3.876595489820406,0.0005028822974675,7.0,12.0,True,0.30675,,,1.0,1.1527857231130665,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00185676.
ntsn_p2_moderate_balanced,4000,462,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,37.89356106799096,kmeans,-3.830056929330457,0.0042596417586642,7.0,12.0,True,0.2945,,,1.0,1.1398507920102514,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00159299.
ntsn_p2_moderate_balanced,4000,479,fit_or_naive_failed,fit,,,,,,,,,,,,,32.05281247093808,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00125808.
ntsn_p2_moderate_balanced,4000,490,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,32.19330918707419,kmeans,-3.862709145325201,6.147934754130446e-05,12.0,12.0,True,0.29225,,,1.0,1.7183006332370052,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0152474.
